Reporting Area,MMWR Year,MMWR Week,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Max†","Cryptosporidiosis, Previous 52 weeks Max†, flag","Cryptosporidiosis, Cum 2020†","Cryptosporidiosis, Cum 2020†, flag","Cryptosporidiosis, Cum 2019†","Cryptosporidiosis, Cum 2019†, flag","Cyclosporiasis, Current week","Cyclosporiasis, Current week, flag","Cyclosporiasis, Previous 52 weeks Max†","Cyclosporiasis, Previous 52 weeks Max†, flag","Cyclosporiasis, Cum 2020†","Cyclosporiasis, Cum 2020†, flag","Cyclosporiasis, Cum 2019†","Cyclosporiasis, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column,Counties,States
US RESIDENTS,2020,1,33,,450,,33,,151,,4,,536,,4,,1,,,US RESIDENTS,20200101,,,
NEW ENGLAND,2020,1,3,,26,,3,,16,,,-,91,,,-,,-,,NEW ENGLAND,20200102,,,
CONNECTICUT,2020,1,,-,6,,,-,,-,,-,26,,,-,,-,CONNECTICUT,,20200103,POINT (-72.738288 41.575155),1043,24
MAINE,2020,1,,-,12,,,-,,-,,-,0,,,-,,-,MAINE,,20200104,POINT (-69.06137 45.117911),1725,49
MASSACHUSETTS,2020,1,3,,15,,3,,9,,,-,60,,,-,,-,MASSACHUSETTS,,20200105,POINT (-71.481104 42.151077),1916,25
NEW HAMPSHIRE,2020,1,,-,7,,,-,7,,,-,2,,,-,,-,NEW HAMPSHIRE,,20200106,POINT (-71.57139000000001 43.680429),2405,26
RHODE ISLAND,2020,1,,-,7,,,-,,-,,-,5,,,-,,-,RHODE ISLAND,,20200107,POINT (-71.534637 41.572574),2703,27
VERMONT,2020,1,,-,3,,,-,,-,,-,5,,,-,,-,VERMONT,,20200108,POINT (-72.662695 44.075252),905,28
MIDDLE ATLANTIC,2020,1,9,,70,,9,,23,,,-,151,,,-,,-,,MIDDLE ATLANTIC,20200109,,,
NEW JERSEY,2020,1,1,,18,,1,,5,,,-,36,,,-,,-,NEW JERSEY,,20200110,POINT (-74.655514 40.110253),2447,46
NEW YORK,2020,1,1,,27,,1,,,-,,-,85,,,-,,-,NEW YORK,,20200111,POINT (-75.59655 42.921241),2092,47
NEW YORK CITY,2020,1,2,,19,,2,,12,,,-,44,,,-,,-,,NEW YORK CITY,20200112,,,
PENNSYLVANIA,2020,1,5,,21,,5,,6,,,N,,NC,,N,,N,PENNSYLVANIA,,20200113,POINT (-77.838886 40.896694),2495,48
EAST NORTH CENTRAL,2020,1,13,,110,,13,,35,,4,,121,,4,,,-,,EAST NORTH CENTRAL,20200114,,,
ILLINOIS,2020,1,,-,24,,,-,8,,,-,51,,,-,,-,ILLINOIS,,20200115,POINT (-89.148632 40.124144),1721,34
INDIANA,2020,1,,-,6,,,-,,-,,-,0,,,-,,-,INDIANA,,20200116,POINT (-86.2818 39.91999100000001),1904,35
MICHIGAN,2020,1,,-,20,,,-,9,,,-,69,,,-,,-,MICHIGAN,,20200117,POINT (-85.730977 44.874798),1262,50
OHIO,2020,1,10,,32,,10,,8,,4,,37,,4,,,-,OHIO,,20200118,POINT (-82.70936 40.41553400000001),592,38
WISCONSIN,2020,1,3,,39,,3,,10,,,-,28,,,-,,-,WISCONSIN,,20200119,POINT (-89.732969 44.639954),881,41
WEST NORTH CENTRAL,2020,1,6,,51,,6,,13,,,-,60,,,-,,-,,WEST NORTH CENTRAL,20200120,,,
IOWA,2020,1,,-,30,,,-,3,,,-,48,,,-,,-,IOWA,,20200121,POINT (-93.500061 42.074659),299,16
KANSAS,2020,1,,-,4,,,-,1,,,-,2,,,-,,-,KANSAS,,20200122,POINT (-98.38018 38.484729),1287,17
MINNESOTA,2020,1,,-,4,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200123,POINT (-94.198308 46.349153),1400,1
MISSOURI,2020,1,5,,24,,5,,4,,,-,16,,,-,,-,MISSOURI,,20200124,POINT (-92.477244 38.3675),2124,18
NEBRASKA,2020,1,1,,8,,1,,1,,,-,6,,,-,,-,NEBRASKA,,20200125,POINT (-99.810595 41.527099),2243,19
NORTH DAKOTA,2020,1,,-,3,,,-,1,,,N,,NC,,N,,N,NORTH DAKOTA,,20200126,POINT (-100.46931 47.446305),568,3
SOUTH DAKOTA,2020,1,,-,11,,,-,3,,,-,6,,,-,,-,SOUTH DAKOTA,,20200127,POINT (-100.230491 44.43614),2679,21
SOUTH ATLANTIC,2020,1,1,,79,,1,,22,,,-,203,,,-,,-,,SOUTH ATLANTIC,20200128,,,
DELAWARE,2020,1,,-,4,,,-,,-,,-,2,,,-,,-,DELAWARE,,20200129,POINT (-75.452394 38.994926),1046,43
DISTRICT OF COLUMBIA,2020,1,,-,2,,,-,,-,,-,11,,,-,,-,DISTRICT OF COLUMBIA,,20200130,POINT (-77.016275 38.904785),1049,44
FLORIDA,2020,1,,-,21,,,-,7,,,-,114,,,-,,-,FLORIDA,,20200131,POINT (-82.42097800000002 28.260731),1080,30
GEORGIA,2020,1,,-,23,,,-,3,,,-,14,,,-,,-,GEORGIA,,20200132,POINT (-83.426574 32.638481),1611,31
MARYLAND,2020,1,1,,6,,1,,1,,,-,62,,,-,,-,MARYLAND,,20200133,POINT (-76.68728200000001 38.946466),418,45
NORTH CAROLINA,2020,1,,-,10,,,-,8,,,-,30,,,-,,-,NORTH CAROLINA,,20200134,POINT (-79.130883 35.52603),2390,37
SOUTH CAROLINA,2020,1,,-,7,,,-,2,,,-,4,,,-,,-,SOUTH CAROLINA,,20200135,POINT (-80.864614 33.878572),2581,33
VIRGINIA,2020,1,,-,51,,,-,,-,,-,47,,,-,,-,VIRGINIA,,20200136,POINT (-78.666382 37.510861),2758,40
WEST VIRGINIA,2020,1,,-,4,,,-,1,,,-,2,,,-,,-,WEST VIRGINIA,,20200137,POINT (-80.613729 38.642579000000005),2749,42
EAST SOUTH CENTRAL,2020,1,1,,44,,1,,6,,,-,17,,,-,,-,,EAST SOUTH CENTRAL,20200138,,,
ALABAMA,2020,1,,-,14,,,-,,-,,N,,NC,,N,,N,ALABAMA,,20200139,POINT (-86.844516 32.756889),94,29
KENTUCKY,2020,1,,-,20,,,-,5,,,-,0,,,-,,-,KENTUCKY,,20200140,POINT (-85.290484 37.526683),1429,36
MISSISSIPPI,2020,1,1,,8,,1,,,-,,N,,NC,,N,,N,MISSISSIPPI,,20200141,POINT (-89.65344 32.713378),494,32
TENNESSEE,2020,1,,-,13,,,-,1,,,-,17,,,-,,-,TENNESSEE,,20200142,POINT (-86.343226 35.842998),2108,39
WEST SOUTH CENTRAL,2020,1,,-,75,,,-,5,,,-,127,,,-,,-,,WEST SOUTH CENTRAL,20200143,,,
ARKANSAS,2020,1,,-,9,,,-,,-,,-,7,,,-,,-,ARKANSAS,,20200144,POINT (-92.439162 34.899825),998,15
LOUISIANA,2020,1,,-,18,,,-,1,,,-,14,,,-,,-,LOUISIANA,,20200145,POINT (-91.840238 30.921313999999995),1537,22
OKLAHOMA,2020,1,,-,23,,,-,3,,,N,,NC,,N,,N,OKLAHOMA,,20200146,POINT (-97.508297 35.583449),712,20
TEXAS,2020,1,,-,55,,,-,1,,,-,119,,,-,,-,TEXAS,,20200147,POINT (-99.317341 31.447238),3109,23
MOUNTAIN,2020,1,,-,34,,,-,10,,,-,15,,,-,,-,,MOUNTAIN,20200148,,,
ARIZONA,2020,1,,-,8,,,-,4,,,-,5,,,-,,-,ARIZONA,,20200149,POINT (-111.664616 34.293239),987,7
COLORADO,2020,1,,-,14,,,-,1,,,-,10,,,-,,-,COLORADO,,20200150,POINT (-105.547832 38.998552),1062,9
IDAHO,2020,1,,-,6,,,-,,-,,N,,NC,,N,,N,IDAHO,,20200151,POINT (-114.659366 44.389073),1730,5
MONTANA,2020,1,,-,5,,,-,1,,,-,1,,,-,,-,MONTANA,,20200152,POINT (-109.645127 47.033521),2283,2
NEVADA,2020,1,,-,4,,,-,,-,,N,,NC,,N,,N,NEVADA,,20200153,POINT (-114.916992 39.283294),2404,10
NEW MEXICO,2020,1,,-,8,,,-,1,,,-,5,,,-,,-,NEW MEXICO,,20200154,POINT (-106.108388 34.421369),616,11
UTAH,2020,1,,-,14,,,-,3,,,-,3,,,-,,-,UTAH,,20200155,POINT (-111.678222 39.323779),900,13
WYOMING,2020,1,,-,5,,,-,,-,,-,1,,,-,,-,WYOMING,,20200156,POINT (-107.55145000000002 42.999627),3084,14
PACIFIC,2020,1,,-,214,,,-,21,,,-,23,,,-,1,,,PACIFIC,20200157,,,
ALASKA,2020,1,,-,2,,,-,,-,,-,0,,,-,,-,ALASKA,,20200158,POINT (-151.631889 63.631125999999995),1671,51
CALIFORNIA,2020,1,,-,28,,,-,8,,,-,8,,,-,,-,CALIFORNIA,,20200159,POINT (-119.662127 37.211164),1196,8
HAWAII,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,HAWAII,,20200160,POINT (-157.854309 21.361013),1657,4
OREGON,2020,1,,-,14,,,-,5,,,-,1,,,-,,-,OREGON,,20200161,POINT (-120.60527899999998 43.940449),719,12
WASHINGTON,2020,1,,-,198,,,-,8,,,-,23,,,-,1,,WASHINGTON,,20200162,POINT (-120.592492 47.411715),2956,6
US TERRITORIES,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200163,,,
AMERICAN SAMOA,2020,1,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20200164,,,
NORTHERN MARIANA ISLANDS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200165,POINT (145.725693 15.1834),,
GUAM,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200166,POINT (144.653198 13.353200000000001),,
PUERTO RICO,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200167,POINT (-66.414655 18.215692),3087,
U.S. VIRGIN ISLANDS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200168,POINT (-64.840836 18.060868),,
NON-US RESIDENTS,2020,1,,-,2,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200169,,,
TOTAL,2020,1,33,,450,,33,,151,,4,,536,,4,,1,,,TOTAL,20200170,,,
US RESIDENTS,2020,2,43,,431,,96,,323,,2,,536,,6,,4,,,US RESIDENTS,20200201,,,
NEW ENGLAND,2020,2,2,,26,,7,,31,,1,,91,,1,,,-,,NEW ENGLAND,20200202,,,
CONNECTICUT,2020,2,,-,6,,,-,6,,,-,26,,,-,,-,CONNECTICUT,,20200203,POINT (-72.738288 41.575155),1043,24
MAINE,2020,2,,-,12,,,-,1,,,-,0,,,-,,-,MAINE,,20200204,POINT (-69.06137 45.117911),1725,49
MASSACHUSETTS,2020,2,1,,15,,5,,15,,1,,60,,1,,,-,MASSACHUSETTS,,20200205,POINT (-71.481104 42.151077),1916,25
NEW HAMPSHIRE,2020,2,,-,7,,1,,8,,,-,2,,,-,,-,NEW HAMPSHIRE,,20200206,POINT (-71.57139 43.680429),2405,26
RHODE ISLAND,2020,2,,-,7,,,-,1,,,-,5,,,-,,-,RHODE ISLAND,,20200207,POINT (-71.534637 41.572574),2703,27
VERMONT,2020,2,1,,3,,1,,,-,,-,5,,,-,,-,VERMONT,,20200208,POINT (-72.662695 44.075252),905,28
MIDDLE ATLANTIC,2020,2,9,,70,,21,,40,,,-,151,,,-,,-,,MIDDLE ATLANTIC,20200209,,,
NEW JERSEY,2020,2,,-,18,,1,,6,,,-,36,,,-,,-,NEW JERSEY,,20200210,POINT (-74.655514 40.110253),2447,46
NEW YORK,2020,2,2,,27,,3,,1,,,-,85,,,-,,-,NEW YORK,,20200211,POINT (-75.59655 42.921241),2092,47
NEW YORK CITY,2020,2,2,,19,,6,,18,,,-,44,,,-,,-,,NEW YORK CITY,20200212,,,
PENNSYLVANIA,2020,2,5,,21,,11,,15,,,N,,NC,,N,,N,PENNSYLVANIA,,20200213,POINT (-77.838886 40.896694),2495,48
EAST NORTH CENTRAL,2020,2,12,,111,,27,,70,,,-,121,,4,,1,,,EAST NORTH CENTRAL,20200214,,,
ILLINOIS,2020,2,,-,24,,,-,16,,,-,51,,,-,1,,ILLINOIS,,20200215,POINT (-89.148632 40.124144),1721,34
INDIANA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200216,POINT (-86.2818 39.919991),1904,35
MICHIGAN,2020,2,,-,20,,,-,15,,,-,69,,,-,,-,MICHIGAN,,20200217,POINT (-85.730977 44.874798),1262,50
OHIO,2020,2,9,,32,,19,,21,,,-,37,,4,,,-,OHIO,,20200218,POINT (-82.70936 40.415534),592,38
WISCONSIN,2020,2,3,,40,,8,,18,,,-,28,,,-,,-,WISCONSIN,,20200219,POINT (-89.732969 44.639954),881,41
WEST NORTH CENTRAL,2020,2,5,,51,,16,,28,,,-,60,,,-,1,,,WEST NORTH CENTRAL,20200220,,,
IOWA,2020,2,1,,30,,5,,8,,,-,48,,,-,,-,IOWA,,20200221,POINT (-93.500061 42.074659),299,16
KANSAS,2020,2,,-,4,,,-,3,,,-,2,,,-,,-,KANSAS,,20200222,POINT (-98.38018 38.484729),1287,17
MINNESOTA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200223,POINT (-94.198308 46.349153),1400,1
MISSOURI,2020,2,1,,24,,6,,8,,,-,16,,,-,1,,MISSOURI,,20200224,POINT (-92.477244 38.3675),2124,18
NEBRASKA,2020,2,3,,8,,5,,2,,,-,6,,,-,,-,NEBRASKA,,20200225,POINT (-99.810595 41.527099),2243,19
NORTH DAKOTA,2020,2,,-,3,,,-,1,,,N,,NC,,N,,N,NORTH DAKOTA,,20200226,POINT (-100.46931 47.446305),568,3
SOUTH DAKOTA,2020,2,,-,11,,,-,6,,,-,6,,,-,,-,SOUTH DAKOTA,,20200227,POINT (-100.230491 44.43614),2679,21
SOUTH ATLANTIC,2020,2,1,,79,,2,,53,,1,,217,,1,,,-,,SOUTH ATLANTIC,20200228,,,
DELAWARE,2020,2,,-,4,,,-,1,,,-,2,,,-,,-,DELAWARE,,20200229,POINT (-75.452394 38.994926),1046,43
DISTRICT OF COLUMBIA,2020,2,,-,2,,,-,,-,,-,11,,,-,,-,DISTRICT OF COLUMBIA,,20200230,POINT (-77.016275 38.904785),1049,44
FLORIDA,2020,2,,-,21,,,-,19,,,-,114,,,-,,-,FLORIDA,,20200231,POINT (-82.420978 28.260731),1080,30
GEORGIA,2020,2,,-,23,,,-,10,,,-,14,,,-,,-,GEORGIA,,20200232,POINT (-83.426574 32.638481),1611,31
MARYLAND,2020,2,,-,6,,1,,1,,1,,76,,1,,,-,MARYLAND,,20200233,POINT (-76.687282 38.946466),418,45
NORTH CAROLINA,2020,2,,-,10,,,-,13,,,-,30,,,-,,-,NORTH CAROLINA,,20200234,POINT (-79.130883 35.52603),2390,37
SOUTH CAROLINA,2020,2,1,,7,,1,,4,,,-,4,,,-,,-,SOUTH CAROLINA,,20200235,POINT (-80.864614 33.878572),2581,33
VIRGINIA,2020,2,,-,51,,,-,3,,,-,47,,,-,,-,VIRGINIA,,20200236,POINT (-78.666382 37.510861),2758,40
WEST VIRGINIA,2020,2,,-,4,,,-,2,,,-,2,,,-,,-,WEST VIRGINIA,,20200237,POINT (-80.613729 38.642579),2749,42
EAST SOUTH CENTRAL,2020,2,2,,45,,5,,14,,,-,17,,,-,,-,,EAST SOUTH CENTRAL,20200238,,,
ALABAMA,2020,2,,-,14,,,-,2,,,N,,NC,,N,,N,ALABAMA,,20200239,POINT (-86.844516 32.756889),94,29
KENTUCKY,2020,2,,-,21,,,-,8,,,-,0,,,-,,-,KENTUCKY,,20200240,POINT (-85.290484 37.526683),1429,36
MISSISSIPPI,2020,2,1,,8,,2,,1,,,N,,NC,,N,,N,MISSISSIPPI,,20200241,POINT (-89.65344 32.713378),494,32
TENNESSEE,2020,2,1,,13,,3,,3,,,-,17,,,-,,-,TENNESSEE,,20200242,POINT (-86.343226 35.842998),2108,39
WEST SOUTH CENTRAL,2020,2,6,,69,,6,,15,,,-,127,,,-,,-,,WEST SOUTH CENTRAL,20200243,,,
ARKANSAS,2020,2,2,,9,,2,,,-,,-,7,,,-,,-,ARKANSAS,,20200244,POINT (-92.439162 34.899825),998,15
LOUISIANA,2020,2,,-,18,,,-,7,,,-,14,,,-,,-,LOUISIANA,,20200245,POINT (-91.840238 30.921314),1537,22
OKLAHOMA,2020,2,3,,10,,3,,3,,,N,,NC,,N,,N,OKLAHOMA,,20200246,POINT (-97.508297 35.583449),712,20
TEXAS,2020,2,1,,55,,1,,5,,,-,119,,,-,,-,TEXAS,,20200247,POINT (-99.317341 31.447238),3109,23
MOUNTAIN,2020,2,2,,34,,4,,18,,,-,15,,,-,,-,,MOUNTAIN,20200248,,,
ARIZONA,2020,2,2,,8,,2,,7,,,-,5,,,-,,-,ARIZONA,,20200249,POINT (-111.664616 34.293239),987,7
COLORADO,2020,2,,-,14,,,-,3,,,-,10,,,-,,-,COLORADO,,20200250,POINT (-105.547832 38.998552),1062,9
IDAHO,2020,2,,-,10,,1,,2,,,N,,NC,,N,,N,IDAHO,,20200251,POINT (-114.659366 44.389073),1730,5
MONTANA,2020,2,,-,5,,,-,1,,,-,1,,,-,,-,MONTANA,,20200252,POINT (-109.645127 47.033521),2283,2
NEVADA,2020,2,,-,4,,,-,,-,,N,,NC,,N,,N,NEVADA,,20200253,POINT (-114.916992 39.283294),2404,10
NEW MEXICO,2020,2,,-,8,,1,,1,,,-,4,,,-,,-,NEW MEXICO,,20200254,POINT (-106.108388 34.421369),616,11
UTAH,2020,2,,-,14,,,-,4,,,-,3,,,-,,-,UTAH,,20200255,POINT (-111.678222 39.323779),900,13
WYOMING,2020,2,,-,5,,,-,,-,,-,1,,,-,,-,WYOMING,,20200256,POINT (-107.55145 42.999627),3084,14
PACIFIC,2020,2,4,,43,,8,,54,,,-,9,,,-,2,,,PACIFIC,20200257,,,
ALASKA,2020,2,,-,2,,,-,,-,,-,0,,,-,,-,ALASKA,,20200258,POINT (-151.631889 63.631126),1671,51
CALIFORNIA,2020,2,3,,28,,5,,24,,,-,8,,,-,1,,CALIFORNIA,,20200259,POINT (-119.662127 37.211164),1196,8
HAWAII,2020,2,,-,1,,,-,1,,,-,0,,,-,,-,HAWAII,,20200260,POINT (-157.854309 21.361013),1657,4
OREGON,2020,2,,-,14,,2,,19,,,-,1,,,-,,-,OREGON,,20200261,POINT (-120.605279 43.940449),719,12
WASHINGTON,2020,2,1,,10,,1,,10,,,-,4,,,-,1,,WASHINGTON,,20200262,POINT (-120.592492 47.411715),2956,6
US TERRITORIES,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200263,,,
AMERICAN SAMOA,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20200264,,,
NORTHERN MARIANA ISLANDS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200265,POINT (145.725693 15.1834),,
GUAM,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200266,POINT (144.653198 13.3532),,
PUERTO RICO,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200267,POINT (-66.414655 18.215692),3087,
U.S. VIRGIN ISLANDS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200268,POINT (-64.840836 18.060868),,
NON-US RESIDENTS,2020,2,,-,2,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200269,,,
TOTAL,2020,2,43,,431,,96,,323,,2,,536,,6,,4,,,TOTAL,20200270,,,
US RESIDENTS,2020,3,89,,401,,219,,441,,1,,490,,7,,5,,,US RESIDENTS,20200301,,,
NEW ENGLAND,2020,3,7,,26,,19,,37,,,-,91,,,-,,-,,NEW ENGLAND,20200302,,,
CONNECTICUT,2020,3,,-,6,,,-,7,,,-,26,,,-,,-,CONNECTICUT,,20200303,POINT (-72.738288 41.575155),1043,24
MAINE,2020,3,2,,12,,3,,1,,,-,0,,,-,,-,MAINE,,20200304,POINT (-69.06137 45.117911),1725,49
MASSACHUSETTS,2020,3,4,,15,,10,,17,,,-,60,,,-,,-,MASSACHUSETTS,,20200305,POINT (-71.481104 42.151077),1916,25
NEW HAMPSHIRE,2020,3,,-,4,,1,,10,,,-,2,,,-,,-,NEW HAMPSHIRE,,20200306,POINT (-71.57139 43.680429),2405,26
RHODE ISLAND,2020,3,,-,7,,3,,2,,,-,5,,,-,,-,RHODE ISLAND,,20200307,POINT (-71.534637 41.572574),2703,27
VERMONT,2020,3,1,,3,,2,,,-,,-,5,,,-,,-,VERMONT,,20200308,POINT (-72.662695 44.075252),905,28
MIDDLE ATLANTIC,2020,3,14,,54,,35,,40,,,-,115,,1,,,-,,MIDDLE ATLANTIC,20200309,,,
NEW JERSEY,2020,3,,-,18,,3,,11,,,-,48,,1,,,-,NEW JERSEY,,20200310,POINT (-74.655514 40.110253),2447,46
NEW YORK,2020,3,12,,27,,15,,5,,,-,85,,,-,,-,NEW YORK,,20200311,POINT (-75.59655 42.921241),2092,47
NEW YORK CITY,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20200312,,,
PENNSYLVANIA,2020,3,2,,21,,17,,24,,,N,,NC,,N,,N,PENNSYLVANIA,,20200313,POINT (-77.838886 40.896694),2495,48
EAST NORTH CENTRAL,2020,3,22,,111,,51,,92,,,-,121,,4,,1,,,EAST NORTH CENTRAL,20200314,,,
ILLINOIS,2020,3,,-,24,,,-,22,,,-,51,,,-,1,,ILLINOIS,,20200315,POINT (-89.148632 40.124144),1721,34
INDIANA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200316,POINT (-86.2818 39.919991),1904,35
MICHIGAN,2020,3,,-,20,,,-,19,,,-,69,,,-,,-,MICHIGAN,,20200317,POINT (-85.730977 44.874798),1262,50
OHIO,2020,3,19,,32,,38,,30,,,-,37,,4,,,-,OHIO,,20200318,POINT (-82.70936 40.415534),592,38
WISCONSIN,2020,3,3,,40,,13,,21,,,-,28,,,-,,-,WISCONSIN,,20200319,POINT (-89.732969 44.639954),881,41
WEST NORTH CENTRAL,2020,3,2,,51,,23,,45,,,-,60,,,-,1,,,WEST NORTH CENTRAL,20200320,,,
IOWA,2020,3,1,,30,,11,,15,,,-,48,,,-,,-,IOWA,,20200321,POINT (-93.500061 42.074659),299,16
KANSAS,2020,3,,-,4,,,-,5,,,-,2,,,-,,-,KANSAS,,20200322,POINT (-98.38018 38.484729),1287,17
MINNESOTA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200323,POINT (-94.198308 46.349153),1400,1
MISSOURI,2020,3,,-,24,,6,,12,,,-,16,,,-,1,,MISSOURI,,20200324,POINT (-92.477244 38.3675),2124,18
NEBRASKA,2020,3,1,,8,,6,,6,,,-,6,,,-,,-,NEBRASKA,,20200325,POINT (-99.810595 41.527099),2243,19
NORTH DAKOTA,2020,3,,-,3,,,-,1,,,N,,NC,,N,,N,NORTH DAKOTA,,20200326,POINT (-100.46931 47.446305),568,3
SOUTH DAKOTA,2020,3,,-,11,,,-,6,,,-,6,,,-,,-,SOUTH DAKOTA,,20200327,POINT (-100.230491 44.43614),2679,21
SOUTH ATLANTIC,2020,3,11,,73,,18,,70,,1,,212,,2,,1,,,SOUTH ATLANTIC,20200328,,,
DELAWARE,2020,3,,-,4,,,-,1,,,-,2,,,-,,-,DELAWARE,,20200329,POINT (-75.452394 38.994926),1046,43
DISTRICT OF COLUMBIA,2020,3,,-,2,,,-,2,,,-,11,,,-,,-,DISTRICT OF COLUMBIA,,20200330,POINT (-77.016275 38.904785),1049,44
FLORIDA,2020,3,,-,21,,,-,34,,,-,114,,,-,,-,FLORIDA,,20200331,POINT (-82.420978 28.260731),1080,30
GEORGIA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20200332,POINT (-83.426574 32.638481),1611,31
MARYLAND,2020,3,2,,6,,3,,2,,,-,76,,1,,,-,MARYLAND,,20200333,POINT (-76.687282 38.946466),418,45
NORTH CAROLINA,2020,3,1,,10,,4,,15,,,-,31,,,-,1,,NORTH CAROLINA,,20200334,POINT (-79.130883 35.52603),2390,37
SOUTH CAROLINA,2020,3,2,,7,,3,,5,,,-,4,,,-,,-,SOUTH CAROLINA,,20200335,POINT (-80.864614 33.878572),2581,33
VIRGINIA,2020,3,6,,51,,8,,8,,1,,47,,1,,,-,VIRGINIA,,20200336,POINT (-78.666382 37.510861),2758,40
WEST VIRGINIA,2020,3,,-,4,,,-,3,,,-,2,,,-,,-,WEST VIRGINIA,,20200337,POINT (-80.613729 38.642579),2749,42
EAST SOUTH CENTRAL,2020,3,5,,45,,14,,26,,,-,17,,,-,,-,,EAST SOUTH CENTRAL,20200338,,,
ALABAMA,2020,3,3,,14,,6,,8,,,N,,NC,,N,,N,ALABAMA,,20200339,POINT (-86.844516 32.756889),94,29
KENTUCKY,2020,3,,-,21,,,-,11,,,-,0,,,-,,-,KENTUCKY,,20200340,POINT (-85.290484 37.526683),1429,36
MISSISSIPPI,2020,3,2,,8,,5,,1,,,N,,NC,,N,,N,MISSISSIPPI,,20200341,POINT (-89.65344 32.713378),494,32
TENNESSEE,2020,3,,-,13,,3,,6,,,-,17,,,-,,-,TENNESSEE,,20200342,POINT (-86.343226 35.842998),2108,39
WEST SOUTH CENTRAL,2020,3,15,,69,,21,,33,,,-,127,,,-,,-,,WEST SOUTH CENTRAL,20200343,,,
ARKANSAS,2020,3,2,,9,,4,,2,,,-,7,,,-,,-,ARKANSAS,,20200344,POINT (-92.439162 34.899825),998,15
LOUISIANA,2020,3,4,,18,,4,,12,,,-,14,,,-,,-,LOUISIANA,,20200345,POINT (-91.840238 30.921314),1537,22
OKLAHOMA,2020,3,3,,10,,5,,5,,,N,,NC,,N,,N,OKLAHOMA,,20200346,POINT (-97.508297 35.583449),712,20
TEXAS,2020,3,6,,55,,8,,14,,,-,119,,,-,,-,TEXAS,,20200347,POINT (-99.317341 31.447238),3109,23
MOUNTAIN,2020,3,3,,34,,11,,25,,,-,15,,,-,,-,,MOUNTAIN,20200348,,,
ARIZONA,2020,3,2,,8,,5,,7,,,-,5,,,-,,-,ARIZONA,,20200349,POINT (-111.664616 34.293239),987,7
COLORADO,2020,3,,-,14,,,-,5,,,-,10,,,-,,-,COLORADO,,20200350,POINT (-105.547832 38.998552),1062,9
IDAHO,2020,3,,-,10,,1,,3,,,N,,NC,,N,,N,IDAHO,,20200351,POINT (-114.659366 44.389073),1730,5
MONTANA,2020,3,,-,5,,,-,1,,,-,1,,,-,,-,MONTANA,,20200352,POINT (-109.645127 47.033521),2283,2
NEVADA,2020,3,,-,4,,1,,1,,,N,,NC,,N,,N,NEVADA,,20200353,POINT (-114.916992 39.283294),2404,10
NEW MEXICO,2020,3,,-,8,,1,,3,,,-,4,,,-,,-,NEW MEXICO,,20200354,POINT (-106.108388 34.421369),616,11
UTAH,2020,3,1,,14,,3,,5,,,-,3,,,-,,-,UTAH,,20200355,POINT (-111.678222 39.323779),900,13
WYOMING,2020,3,,-,5,,,-,,-,,-,1,,,-,,-,WYOMING,,20200356,POINT (-107.55145 42.999627),3084,14
PACIFIC,2020,3,10,,43,,27,,73,,,-,9,,,-,2,,,PACIFIC,20200357,,,
ALASKA,2020,3,,-,2,,,-,,-,,-,0,,,-,,-,ALASKA,,20200358,POINT (-151.631889 63.631126),1671,51
CALIFORNIA,2020,3,9,,28,,20,,33,,,-,8,,,-,1,,CALIFORNIA,,20200359,POINT (-119.662127 37.211164),1196,8
