 Reporting Area,MMWR Year,MMWR Week,"Giardiasis, Current week","Giardiasis, Current week, flag","Giardiasis, Previous 52 weeks Med","Giardiasis, Previous 52 weeks Med, flag","Giardiasis, Previous 52 weeks Max","Giardiasis, Previous 52 weeks Max, flag","Giardiasis, Cum 2017","Giardiasis, Cum 2017, flag","Giardiasis, Cum 2016","Giardiasis, Cum 2016, flag","Gonorrhea,Current week","Gonorrhea,Current week, flag","Gonorrhea,Previous 52 weeks Med","Gonorrhea,Previous 52 weeks Med, flag","Gonorrhea, Previous 52 weeks Max","Gonorrhea, Previous 52 weeks Max, flag","Gonorrhea, Cum 2017","Gonorrhea, Cum 2017, flag","Gonorrhea, Cum 2016","Gonorrhea, Cum 2016, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Current week","Haemophilus influenzae invasive§, All ages, all serotypes, Current week, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Previous 52 weeks Med","Haemophilus influenzae invasive§, All ages, all serotypes, Previous 52 weeks Med, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Previous 52 weeks Max","Haemophilus influenzae invasive§, All ages, all serotypes, Previous 52 weeks Max, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Cum 2017","Haemophilus influenzae invasive§, All ages, all serotypes, Cum 2017, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Cum 2016","Haemophilus influenzae invasive§, All ages, all serotypes, Cum 2016, flag",Location 1,Location 2
GEORGIA,2017,8,,-,14,,28,,,-,124,,,-,276,,371,,,-,2012,,2,,3,,8,,18,,41,,"GEORGIA
(32.836038, -83.631709)",
VIRGINIA,2017,8,2,,5,,17,,16,,30,,,-,120,,776,,,-,1443,,,-,2,,13,,15,,23,,"VIRGINIA
(37.542699, -78.45822)",
MISSISSIPPI,2017,8,,N,0,,0,,,N,,N,113,,115,,208,,660,,925,,,-,1,,6,,12,,7,,"MISSISSIPPI
(32.738663, -89.537312)",
COLORADO,2017,8,10,,11,,21,,69,,64,,114,,123,,253,,1107,,839,,,-,1,,6,,15,,14,,"COLORADO
(38.841772, -106.132562)",
OREGON,2017,8,3,,6,,17,,15,,49,,73,,85,,129,,698,,565,,,-,2,,7,,19,,21,,"OREGON
(44.567912, -120.156945)",
GUAM,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
CALIFORNIA,2017,8,6,,54,,83,,262,,381,,527,,1237,,1589,,9262,,9408,,,-,1,,2,,8,,6,,"CALIFORNIA
(37.640735, -121.002435)",
PENNSYLVANIA,2017,8,1,,12,,35,,51,,69,,164,,289,,353,,2321,,2280,,2,,4,,10,,35,,52,,"PENNSYLVANIA
(40.789676, -77.858055)",
MARYLAND,2017,8,1,,4,,11,,25,,33,,61,,167,,338,,737,,1031,,1,,2,,10,,24,,25,,"MARYLAND
(39.290443, -76.612333)",
E.S. CENTRAL,2017,8,1,,4,,13,,25,,47,,206,,574,,785,,3228,,3905,,,-,7,,12,,56,,68,,,
NEW MEXICO,2017,8,,-,1,,9,,9,,8,,7,,63,,129,,369,,487,,,-,1,,3,,9,,14,,"NEW MEXICO
(34.520396, -106.244402)",
KANSAS,2017,8,,-,2,,6,,6,,15,,36,,68,,90,,565,,417,,,-,1,,5,,1,,5,,"KANSAS
(38.345528, -98.201847)",
NEW ENGLAND,2017,8,1,,21,,36,,86,,166,,20,,164,,403,,864,,1329,,,-,5,,16,,27,,41,,,
AMER. SAMOA,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
MOUNTAIN,2017,8,17,,25,,52,,146,,166,,256,,510,,732,,3501,,3774,,4,,7,,14,,72,,91,,,
WEST VIRGINIA,2017,8,,-,1,,5,,11,,12,,30,,19,,31,,201,,104,,,-,1,,3,,6,,10,,"WEST VIRGINIA
(38.668501, -80.709421)",
ALASKA,2017,8,,-,1,,5,,5,,11,,,-,26,,54,,,-,175,,,-,0,,2,,1,,4,,"ALASKA
(64.836661, -147.738891)",
SOUTH DAKOTA,2017,8,,-,2,,6,,10,,15,,,-,20,,33,,101,,220,,,-,0,,2,,,-,3,,"SOUTH DAKOTA
(44.35371, -100.373709)",
MASSACHUSETTS,2017,8,,-,11,,22,,47,,87,,,-,96,,142,,633,,696,,,-,2,,8,,20,,22,,"MASSACHUSETTS
(42.268546, -72.085064)",
WYOMING,2017,8,,-,1,,2,,,-,3,,,-,5,,16,,25,,27,,,-,0,,2,,,-,,-,"WYOMING
(43.23558, -108.110518)",
OHIO,2017,8,3,,5,,135,,51,,64,,,-,389,,475,,2317,,3009,,3,,3,,8,,33,,34,,"OHIO
(40.056807, -82.405897)",
MISSOURI,2017,8,,-,5,,16,,16,,38,,137,,222,,286,,1780,,1690,,1,,2,,9,,21,,27,,"MISSOURI
(38.636168, -92.566292)",
OKLAHOMA,2017,8,,N,0,,0,,,N,,N,12,,107,,157,,732,,895,,1,,1,,8,,23,,11,,"OKLAHOMA
(35.468494, -97.521264)",
MONTANA,2017,8,2,,2,,8,,8,,12,,,-,14,,26,,1,,178,,,-,0,,2,,4,,3,,"MONTANA
(47.062617, -109.430168)",
NEVADA,2017,8,,-,1,,4,,3,,12,,32,,65,,99,,456,,459,,,-,1,,3,,6,,9,,"NEVADA
(39.491833, -117.070159)",
C.N.M.I.,2017,8,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
WISCONSIN,2017,8,3,,9,,86,,36,,60,,131,,125,,149,,1053,,1038,,,-,1,,6,,4,,29,,"WISCONSIN
(44.395526, -89.834513)",
MAINE,2017,8,,-,2,,7,,7,,16,,,-,8,,16,,59,,85,,,-,0,,3,,4,,4,,"MAINE
(45.252223, -68.986647)",
PACIFIC,2017,8,9,,73,,135,,295,,488,,727,,1510,,1943,,11109,,11502,,,-,4,,9,,35,,43,,,
MINNESOTA,2017,8,,-,0,,0,,,-,,-,,-,97,,123,,,-,746,,,-,0,,1,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
ILLINOIS,2017,8,,N,0,,0,,,N,,N,21,,311,,421,,1199,,2793,,,-,4,,11,,20,,39,,"ILLINOIS
(40.477092, -88.993221)",
RHODE ISLAND,2017,8,1,,1,,8,,4,,10,,15,,8,,205,,50,,95,,,-,0,,11,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NORTH DAKOTA,2017,8,,-,0,,4,,,-,9,,2,,17,,32,,55,,139,,1,,0,,4,,3,,5,,"NORTH DAKOTA
(47.475879, -100.121011)",
GUAM,2017,23,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
FLORIDA,2017,8,18,,21,,53,,154,,146,,309,,529,,906,,3950,,3799,,5,,4,,65,,41,,51,,"FLORIDA
(28.915325, -81.922409)",
W.N. CENTRAL,2017,8,2,,15,,41,,68,,121,,230,,506,,627,,3239,,3881,,3,,5,,11,,37,,43,,,
MID. ATLANTIC,2017,8,30,,48,,87,,280,,369,,622,,1037,,1204,,8013,,7668,,8,,12,,22,,90,,130,,,
NEW HAMPSHIRE,2017,8,,-,2,,6,,7,,15,,1,,8,,51,,66,,139,,,-,0,,3,,1,,2,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MICHIGAN,2017,8,,-,9,,24,,44,,66,,45,,227,,299,,1012,,1711,,,-,3,,8,,17,,32,,"MICHIGAN
(44.66399, -84.711206)",
CONNECTICUT,2017,8,,-,5,,11,,21,,38,,4,,49,,130,,46,,290,,,-,1,,4,,,-,11,,"CONNECTICUT
(41.544654, -72.651713)",
HAWAII,2017,8,,-,1,,4,,5,,7,,5,,27,,50,,153,,170,,,-,0,,3,,7,,12,,"HAWAII
(21.30992, -157.858158)",
NEW YORK,2017,8,13,,17,,42,,83,,119,,186,,186,,451,,1414,,1211,,4,,4,,15,,25,,29,,"NEW YORK
(42.826892, -75.544286)",
IOWA,2017,8,,-,4,,13,,18,,25,,20,,51,,70,,413,,355,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
KENTUCKY,2017,8,,N,0,,0,,,N,,N,32,,114,,227,,775,,236,,,-,1,,3,,7,,9,,"KENTUCKY
(37.64591, -84.774043)",
NEBRASKA,2017,8,2,,2,,9,,18,,19,,35,,43,,78,,325,,314,,1,,1,,4,,12,,3,,"NEBRASKA
(41.640503, -99.367122)",
S. ATLANTIC,2017,8,21,,51,,77,,223,,366,,629,,1755,,2420,,7070,,13479,,8,,18,,89,,166,,212,,,
ALABAMA,2017,8,1,,4,,13,,25,,47,,,-,157,,268,,735,,1173,,,-,1,,4,,8,,15,,"ALABAMA
(32.839182, -86.631125)",
VIRGIN ISL.,2017,8,,-,0,,0,,,-,,-,,-,0,,3,,,-,6,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
E.N. CENTRAL,2017,8,6,,26,,152,,139,,212,,285,,1226,,1450,,7045,,10030,,3,,14,,31,,84,,153,,,
TEXAS,2017,8,,N,0,,0,,,N,,N,866,,831,,1211,,7019,,6595,,3,,6,,28,,20,,29,,"TEXAS
(31.827233, -99.423022)",
W.S. CENTRAL,2017,8,3,,4,,20,,24,,39,,938,,1252,,2918,,11531,,9497,,4,,10,,30,,61,,64,,,
LOUISIANA,2017,8,,-,1,,11,,9,,24,,20,,221,,2020,,3471,,1311,,,-,1,,3,,11,,17,,"LOUISIANA
(31.2931, -92.463284)",
NEW JERSEY,2017,8,,-,2,,13,,2,,69,,59,,150,,197,,1133,,1433,,,-,2,,8,,13,,28,,"NEW JERSEY
(40.104655, -74.386686)",
NEW YORK CITY,2017,8,16,,17,,27,,144,,112,,213,,396,,506,,3145,,2744,,2,,2,,7,,17,,21,,,
TENNESSEE,2017,8,,N,0,,0,,,N,,N,61,,185,,269,,1058,,1571,,,-,3,,7,,29,,37,,"TENNESSEE
(35.681402, -85.774444)",
IDAHO,2017,8,2,,3,,13,,18,,23,,,-,9,,39,,7,,119,,1,,0,,3,,4,,7,,"IDAHO
(43.680635, -114.364237)",
WASHINGTON,2017,8,,-,10,,48,,8,,40,,122,,153,,290,,996,,1184,,,-,0,,2,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
VIRGIN ISL.,2017,9,,-,0,,0,,,-,,-,,-,0,,3,,1,,7,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
DIST. OF COL.,2017,9,,-,0,,2,,,-,3,,,-,65,,146,,307,,475,,,-,0,,1,,1,,6,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MONTANA,2017,9,1,,2,,8,,11,,13,,,-,13,,26,,1,,198,,,-,0,,2,,4,,3,,"MONTANA
(47.062617, -109.430168)",
MISSOURI,2017,9,2,,5,,16,,26,,43,,220,,222,,286,,2066,,1878,,,-,2,,9,,24,,31,,"MISSOURI
(38.636168, -92.566292)",
KANSAS,2017,9,,-,2,,6,,9,,18,,11,,70,,90,,627,,468,,,-,1,,5,,1,,7,,"KANSAS
(38.345528, -98.201847)",
OREGON,2017,9,3,,5,,17,,21,,53,,111,,85,,129,,809,,626,,1,,2,,7,,21,,25,,"OREGON
(44.567912, -120.156945)",
VIRGINIA,2017,9,1,,5,,18,,21,,32,,,-,107,,776,,,-,1585,,,-,2,,13,,15,,27,,"VIRGINIA
(37.542699, -78.45822)",
TENNESSEE,2017,9,,N,0,,0,,,N,,N,68,,180,,269,,1126,,1738,,,-,3,,7,,29,,43,,"TENNESSEE
(35.681402, -85.774444)",
NEBRASKA,2017,9,2,,2,,9,,22,,23,,32,,43,,78,,366,,361,,,-,1,,4,,12,,4,,"NEBRASKA
(41.640503, -99.367122)",
MOUNTAIN,2017,9,5,,25,,52,,159,,188,,302,,510,,733,,4071,,4192,,7,,7,,14,,85,,103,,,
WYOMING,2017,9,,-,1,,2,,,-,4,,,-,5,,16,,25,,30,,,-,0,,2,,,-,,-,"WYOMING
(43.23558, -108.110518)",
RHODE ISLAND,2017,9,1,,1,,8,,5,,11,,6,,9,,205,,56,,103,,,-,0,,11,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
WASHINGTON,2017,9,,-,9,,48,,8,,54,,117,,153,,208,,1113,,1325,,,-,0,,2,,,-,1,,"WASHINGTON
(47.517368, -120.467672)",
DELAWARE,2017,9,,-,0,,3,,,-,2,,37,,32,,59,,328,,295,,1,,0,,3,,7,,4,,"DELAWARE
(39.008676, -75.574561)",
S. ATLANTIC,2017,9,22,,49,,77,,251,,402,,679,,1734,,2420,,8088,,15146,,6,,18,,89,,183,,231,,,
NEVADA,2017,9,,-,1,,4,,3,,12,,35,,65,,99,,561,,505,,,-,1,,3,,6,,10,,"NEVADA
(39.491833, -117.070159)",
ILLINOIS,2017,9,,N,0,,0,,,N,,N,13,,336,,426,,1424,,3189,,,-,4,,12,,28,,47,,"ILLINOIS
(40.477092, -88.993221)",
VERMONT,2017,9,,N,0,,0,,,N,,N,,-,2,,6,,10,,28,,,-,0,,2,,2,,3,,"VERMONT
(43.622479, -72.51927)",
NEW YORK,2017,9,8,,17,,42,,91,,127,,207,,186,,454,,1617,,1362,,3,,4,,15,,28,,33,,"NEW YORK
(42.826892, -75.544286)",
NEW HAMPSHIRE,2017,40,,-,2,,5,,82,,83,,7,,11,,24,,405,,309,,,-,0,,2,,18,,17,,,
SOUTH CAROLINA,2017,9,,-,2,,7,,19,,20,,179,,180,,300,,1784,,1674,,,-,2,,10,,38,,17,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MASSACHUSETTS,2017,9,6,,11,,22,,64,,96,,,-,92,,142,,633,,787,,1,,2,,8,,26,,26,,"MASSACHUSETTS
(42.268546, -72.085064)",
PACIFIC,2017,9,16,,73,,135,,348,,557,,819,,1511,,1991,,12509,,12852,,1,,4,,10,,37,,50,,,
TEXAS,2017,9,,N,0,,0,,,N,,N,787,,833,,1210,,7837,,7428,,3,,6,,28,,26,,35,,"TEXAS
(31.827233, -99.423022)",
GUAM,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
AMER. SAMOA,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
W.N. CENTRAL,2017,9,4,,15,,41,,88,,145,,305,,520,,627,,4602,,4325,,,-,5,,11,,40,,50,,,
PENNSYLVANIA,2017,9,1,,11,,36,,54,,81,,219,,289,,353,,2660,,2534,,,-,4,,10,,38,,57,,"PENNSYLVANIA
(40.789676, -77.858055)",
KENTUCKY,2017,9,,N,0,,0,,,N,,N,50,,119,,227,,947,,254,,1,,1,,3,,8,,9,,"KENTUCKY
(37.64591, -84.774043)",
E.N. CENTRAL,2017,9,12,,26,,152,,158,,237,,110,,1240,,1473,,7604,,11254,,7,,14,,31,,105,,177,,,
IDAHO,2017,9,3,,3,,13,,21,,26,,,-,8,,39,,7,,127,,2,,0,,3,,6,,7,,"IDAHO
(43.680635, -114.364237)",
IOWA,2017,9,,-,4,,13,,21,,30,,24,,51,,70,,464,,398,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
MAINE,2017,9,,-,2,,7,,7,,18,,,-,8,,16,,59,,89,,,-,0,,3,,6,,4,,"MAINE
(45.252223, -68.986647)",
E.S. CENTRAL,2017,9,1,,4,,10,,28,,53,,300,,574,,786,,3684,,4339,,1,,7,,12,,60,,77,,,
NEW MEXICO,2017,9,,-,1,,9,,10,,10,,6,,64,,129,,463,,548,,,-,1,,3,,9,,15,,"NEW MEXICO
(34.520396, -106.244402)",
ARKANSAS,2017,9,1,,3,,9,,16,,18,,57,,94,,190,,410,,797,,,-,1,,4,,7,,10,,"ARKANSAS
(34.748745, -92.275105)",
NEW JERSEY,2017,9,,-,2,,13,,2,,80,,46,,151,,197,,1255,,1574,,,-,2,,8,,17,,31,,"NEW JERSEY
(40.104655, -74.386686)",
C.N.M.I.,2017,9,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
PUERTO RICO,2017,9,,-,0,,3,,,-,4,,,-,13,,28,,53,,122,,,-,0,,2,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NORTH DAKOTA,2017,9,,-,0,,4,,,-,13,,,-,17,,32,,71,,164,,,-,0,,4,,3,,5,,"NORTH DAKOTA
(47.475879, -100.121011)",
CALIFORNIA,2017,9,13,,54,,83,,309,,429,,591,,1236,,1588,,10434,,10514,,,-,1,,2,,8,,8,,"CALIFORNIA
(37.640735, -121.002435)",
INDIANA,2017,9,,-,3,,9,,10,,28,,78,,181,,263,,1649,,1622,,,-,2,,9,,12,,21,,"INDIANA
(39.76845, -86.156212)",
WISCONSIN,2017,9,,-,9,,86,,36,,70,,,-,126,,149,,1053,,1161,,,-,1,,6,,4,,31,,"WISCONSIN
(44.395526, -89.834513)",
MICHIGAN,2017,9,1,,9,,24,,50,,72,,19,,227,,299,,1161,,1884,,1,,3,,8,,21,,40,,"MICHIGAN
(44.66399, -84.711206)",
LOUISIANA,2017,9,,-,1,,11,,9,,24,,522,,221,,1971,,3948,,1467,,1,,1,,4,,13,,18,,"LOUISIANA
(31.2931, -92.463284)",
MINNESOTA,2017,9,,-,0,,0,,,-,,-,18,,104,,131,,907,,809,,,-,0,,1,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
MARYLAND,2017,9,1,,4,,11,,26,,36,,121,,167,,351,,917,,1186,,1,,2,,10,,25,,25,,"MARYLAND
(39.290443, -76.612333)",
WEST VIRGINIA,2017,9,,-,1,,5,,11,,13,,37,,19,,31,,242,,130,,,-,0,,3,,7,,10,,"WEST VIRGINIA
(38.668501, -80.709421)",
NEW YORK CITY,2017,9,19,,17,,27,,163,,125,,288,,396,,506,,3614,,3061,,1,,2,,7,,18,,26,,,
SOUTH DAKOTA,2017,9,,-,2,,6,,10,,18,,,-,20,,33,,101,,247,,,-,0,,2,,,-,3,,"SOUTH DAKOTA
(44.35371, -100.373709)",
W.S. CENTRAL,2017,9,1,,4,,20,,25,,42,,1391,,1254,,2885,,13041,,10681,,6,,10,,30,,73,,74,,,
CONNECTICUT,2017,9,,-,5,,11,,25,,47,,3,,50,,130,,147,,337,,,-,1,,4,,4,,12,,"CONNECTICUT
(41.544654, -72.651713)",
NEW HAMPSHIRE,2017,9,,-,2,,6,,7,,16,,1,,9,,51,,82,,144,,,-,0,,3,,1,,2,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ALASKA,2017,9,,-,1,,5,,5,,12,,,-,26,,54,,,-,202,,,-,0,,2,,1,,4,,"ALASKA
(64.836661, -147.738891)",
MISSISSIPPI,2017,9,,N,0,,0,,,N,,N,182,,115,,209,,876,,1039,,,-,1,,6,,14,,8,,"MISSISSIPPI
(32.738663, -89.537312)",
UTAH,2017,9,,-,3,,9,,18,,19,,27,,40,,59,,371,,350,,,-,1,,3,,9,,6,,"UTAH
(39.359772, -111.584173)",
ARIZONA,2017,9,1,,3,,7,,27,,30,,123,,199,,311,,1401,,1469,,5,,2,,5,,36,,42,,"ARIZONA
(34.869712, -111.760902)",
NEW ENGLAND,2017,9,7,,21,,36,,108,,188,,10,,164,,404,,987,,1488,,1,,5,,16,,39,,47,,,
ALABAMA,2017,9,1,,4,,10,,28,,53,,,-,157,,268,,735,,1308,,,-,1,,4,,9,,17,,"ALABAMA
(32.839182, -86.631125)",
OHIO,2017,9,11,,5,,135,,62,,67,,,-,390,,475,,2317,,3398,,6,,3,,8,,40,,38,,"OHIO
(40.056807, -82.405897)",
GEORGIA,2017,9,,-,13,,28,,,-,133,,,-,276,,371,,,-,2286,,1,,3,,8,,20,,46,,"GEORGIA
(32.836038, -83.631709)",
NORTH CAROLINA,2017,9,,-,0,,0,,,-,,-,,-,361,,423,,13,,3236,,,-,3,,9,,26,,38,,"NORTH CAROLINA
(35.47995, -79.180571)",
MID. ATLANTIC,2017,9,28,,48,,88,,310,,413,,760,,1044,,1205,,9146,,8531,,4,,13,,22,,101,,147,,,
COLORADO,2017,9,,-,10,,21,,69,,74,,111,,124,,253,,1242,,965,,,-,1,,6,,15,,20,,"COLORADO
(38.841772, -106.132562)",
FLORIDA,2017,9,20,,21,,53,,174,,163,,305,,534,,905,,4497,,4279,,3,,4,,65,,44,,58,,"FLORIDA
(28.915325, -81.922409)",
HAWAII,2017,9,,-,1,,4,,5,,9,,,-,27,,50,,153,,185,,,-,0,,3,,7,,12,,"HAWAII
(21.30992, -157.858158)",
OKLAHOMA,2017,9,,N,0,,0,,,N,,N,25,,106,,157,,846,,989,,2,,1,,8,,27,,11,,"OKLAHOMA
(35.468494, -97.521264)",
UNITED STATES,2017,9,96,,268,,441,,1475,,2225,,4676,,8554,,10174,,63732,,72808,,33,,83,,160,,723,,956,,,
NEBRASKA,2017,10,2,,2,,9,,24,,25,,,-,43,,78,,366,,406,,,-,1,,4,,12,,5,,"NEBRASKA
(41.640503, -99.367122)",
VIRGIN ISL.,2017,10,,-,0,,0,,,-,,-,,-,0,,3,,1,,8,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
VERMONT,2017,10,,N,0,,0,,,N,,N,7,,2,,7,,28,,34,,,-,0,,2,,2,,3,,"VERMONT
(43.622479, -72.51927)",
WASHINGTON,2017,10,1,,8,,52,,8,,64,,143,,153,,208,,1256,,1469,,,-,0,,2,,,-,1,,"WASHINGTON
(47.517368, -120.467672)",
CALIFORNIA,2017,10,7,,54,,83,,347,,491,,489,,752,,913,,7564,,7126,,,-,1,,3,,10,,10,,"CALIFORNIA
(37.640735, -121.002435)",
GEORGIA,2017,10,,-,13,,28,,,-,144,,,-,275,,371,,,-,2533,,,-,3,,9,,30,,53,,"GEORGIA
(32.836038, -83.631709)",
NEW YORK,2017,10,,-,17,,42,,91,,143,,200,,187,,457,,1814,,1506,,2,,4,,15,,30,,37,,"NEW YORK
(42.826892, -75.544286)",
C.N.M.I.,2017,10,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
PENNSYLVANIA,2017,10,,-,11,,36,,54,,96,,36,,289,,353,,2752,,2804,,,-,4,,11,,38,,62,,"PENNSYLVANIA
(40.789676, -77.858055)",
W.S. CENTRAL,2017,10,2,,4,,20,,31,,49,,1210,,1257,,2659,,14237,,11800,,8,,10,,30,,94,,89,,,
WISCONSIN,2017,10,2,,9,,86,,47,,76,,117,,126,,148,,1225,,1277,,,-,1,,6,,4,,36,,"WISCONSIN
(44.395526, -89.834513)",
OREGON,2017,10,,-,5,,17,,21,,61,,87,,86,,129,,896,,714,,1,,2,,7,,23,,26,,"OREGON
(44.567912, -120.156945)",
TENNESSEE,2017,10,,N,0,,0,,,N,,N,76,,192,,309,,1820,,1907,,,-,3,,7,,31,,46,,"TENNESSEE
(35.681402, -85.774444)",
MASSACHUSETTS,2017,10,,-,11,,22,,64,,102,,,-,100,,142,,950,,865,,,-,2,,8,,26,,27,,"MASSACHUSETTS
(42.268546, -72.085064)",
W.N. CENTRAL,2017,10,2,,15,,41,,95,,156,,172,,520,,627,,4948,,4759,,,-,5,,12,,44,,57,,,
VIRGINIA,2017,10,2,,5,,19,,25,,40,,,-,76,,776,,,-,1702,,1,,2,,13,,20,,30,,"VIRGINIA
(37.542699, -78.45822)",
SOUTH CAROLINA,2017,10,,-,2,,7,,24,,21,,160,,182,,300,,2000,,1858,,1,,2,,10,,40,,17,,"SOUTH CAROLINA
(34.009286, -81.037094)",
DIST. OF COL.,2017,10,,-,0,,2,,,-,3,,,-,65,,146,,307,,560,,,-,0,,1,,1,,6,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MOUNTAIN,2017,10,4,,25,,52,,165,,197,,348,,510,,736,,4618,,4634,,8,,7,,14,,96,,111,,,
PUERTO RICO,2017,10,,-,0,,3,,,-,4,,,-,13,,28,,69,,136,,,-,0,,2,,2,,,-,"PUERTO RICO
(18.215692, -66.414655)",
E.S. CENTRAL,2017,10,,-,4,,10,,34,,57,,288,,584,,797,,4841,,4804,,3,,7,,12,,70,,87,,,
TEXAS,2017,10,,N,0,,0,,,N,,N,858,,833,,1211,,8731,,8153,,6,,6,,28,,35,,47,,"TEXAS
(31.827233, -99.423022)",
CONNECTICUT,2017,10,,-,4,,11,,26,,50,,2,,50,,130,,204,,378,,,-,1,,4,,4,,13,,"CONNECTICUT
(41.544654, -72.651713)",
PACIFIC,2017,10,8,,73,,135,,389,,639,,721,,1036,,1316,,9909,,9738,,2,,4,,10,,44,,53,,,
HAWAII,2017,10,,-,1,,4,,7,,10,,2,,27,,50,,193,,206,,,-,0,,3,,9,,12,,"HAWAII
(21.30992, -157.858158)",
DELAWARE,2017,10,,-,0,,3,,,-,2,,24,,32,,59,,352,,324,,,-,0,,3,,7,,4,,"DELAWARE
(39.008676, -75.574561)",
OKLAHOMA,2017,10,,N,0,,0,,,N,,N,23,,106,,157,,950,,1088,,2,,1,,8,,31,,11,,"OKLAHOMA
(35.468494, -97.521264)",
FLORIDA,2017,10,17,,21,,53,,191,,179,,319,,534,,905,,5061,,4799,,6,,4,,65,,50,,65,,"FLORIDA
(28.915325, -81.922409)",
MINNESOTA,2017,10,,-,0,,0,,,-,,-,9,,104,,131,,983,,878,,,-,0,,1,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
MISSOURI,2017,10,,-,5,,16,,26,,48,,141,,223,,286,,2249,,2076,,,-,2,,9,,24,,34,,"MISSOURI
(38.636168, -92.566292)",
IDAHO,2017,10,1,,3,,13,,22,,27,,,-,8,,39,,7,,141,,2,,0,,3,,8,,9,,"IDAHO
(43.680635, -114.364237)",
MONTANA,2017,10,,-,2,,8,,11,,13,,,-,13,,26,,1,,217,,,-,0,,2,,4,,3,,"MONTANA
(47.062617, -109.430168)",
KENTUCKY,2017,10,,N,0,,0,,,N,,N,31,,123,,227,,1180,,287,,3,,1,,3,,12,,11,,"KENTUCKY
(37.64591, -84.774043)",
GUAM,2017,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
RHODE ISLAND,2017,10,2,,1,,8,,7,,11,,40,,9,,207,,96,,113,,,-,0,,11,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NEW HAMPSHIRE,2017,10,,-,2,,6,,7,,19,,1,,9,,51,,89,,170,,,-,0,,3,,1,,5,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEW ENGLAND,2017,10,2,,21,,36,,111,,201,,50,,170,,406,,1444,,1650,,,-,5,,16,,39,,53,,,
E.N. CENTRAL,2017,10,6,,26,,152,,177,,256,,287,,1245,,1476,,8419,,12478,,1,,14,,31,,112,,195,,,
UTAH,2017,10,3,,3,,9,,22,,20,,24,,40,,59,,410,,385,,1,,1,,3,,11,,6,,"UTAH
(39.359772, -111.584173)",
NEVADA,2017,10,,-,1,,4,,3,,12,,38,,66,,99,,662,,564,,,-,1,,3,,6,,10,,"NEVADA
(39.491833, -117.070159)",
UNITED STATES,2017,10,46,,272,,441,,1593,,2468,,4254,,8093,,9545,,67530,,76017,,32,,83,,160,,816,,1058,,,
ARIZONA,2017,10,,-,2,,7,,28,,31,,140,,199,,312,,1603,,1669,,4,,2,,5,,40,,46,,"ARIZONA
(34.869712, -111.760902)",
IOWA,2017,10,,-,3,,13,,21,,30,,,-,51,,70,,464,,432,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
