Reporting Area,MMWR Year,MMWR Week,"Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Current week","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Current week, flag","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Previous 52 weeks Med","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Previous 52 weeks Med, flag","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Previous 52 weeks Max","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Previous 52 weeks Max, flag","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Cum 2018","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Cum 2018, flag","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Cum 2017","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Cum 2017, flag","Ehrlichiosis and Anaplasmosis, Undetermined Ehrlichiosis/Anaplasmosis, Current week","Ehrlichiosis and Anaplasmosis, Undetermined Ehrlichiosis/Anaplasmosis, Current week, flag","Ehrlichiosis and Anaplasmosis, Undetermined Ehrlichiosis/Anaplasmosis, Previous 52 weeks Med","Ehrlichiosis and Anaplasmosis, Undetermined Ehrlichiosis/Anaplasmosis, Previous 52 weeks Med, flag","Ehrlichiosis and Anaplasmosis, Undetermined Ehrlichiosis/Anaplasmosis, Previous 52 weeks Max","Ehrlichiosis and Anaplasmosis, Undetermined Ehrlichiosis/Anaplasmosis, Previous 52 weeks Max, flag","Ehrlichiosis and Anaplasmosis, Undetermined Ehrlichiosis/Anaplasmosis, Cum 2018","Ehrlichiosis and Anaplasmosis, Undetermined Ehrlichiosis/Anaplasmosis, Cum 2018, flag","Ehrlichiosis and Anaplasmosis, Undetermined Ehrlichiosis/Anaplasmosis, Cum 2017","Ehrlichiosis and Anaplasmosis, Undetermined Ehrlichiosis/Anaplasmosis, Cum 2017, flag",Location 1,Location 2
UNITED STATES,2018,1,,-,0,,4,,,-,1,,,-,3,,16,,,-,1,,,
NEW ENGLAND,2018,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,
MID. ATLANTIC,2018,1,,-,0,,1,,,-,,-,,-,0,,5,,,-,1,,,
NEW YORK CITY,2018,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,
E.N. CENTRAL,2018,1,,-,0,,1,,,-,,-,,-,1,,10,,,-,,-,,
W.N. CENTRAL,2018,1,,-,0,,3,,,-,1,,,-,0,,4,,,-,,-,,
S. ATLANTIC,2018,1,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,,
E.S. CENTRAL,2018,1,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,
W.S. CENTRAL,2018,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,
MOUNTAIN,2018,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,
PACIFIC,2018,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
AMER. SAMOA,2018,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
MARYLAND,2018,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
PUERTO RICO,2018,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
WYOMING,2018,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NEW HAMPSHIRE,2018,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
OREGON,2018,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
PENNSYLVANIA,2018,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
TEXAS,2018,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
IDAHO,2018,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
SOUTH CAROLINA,2018,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
GEORGIA,2018,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
DIST. OF COL.,2018,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
TENNESSEE,2018,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
HAWAII,2018,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
OHIO,2018,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
MONTANA,2018,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
RHODE ISLAND,2018,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
FLORIDA,2018,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
ILLINOIS,2018,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
ALABAMA,2018,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
NEBRASKA,2018,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
NORTH DAKOTA,2018,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
KENTUCKY,2018,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
NEVADA,2018,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
UTAH,2018,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
KANSAS,2018,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KANSAS
(38.345528, -98.201847)",
VIRGINIA,2018,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
MISSOURI,2018,1,,-,0,,3,,,-,1,,,-,0,,3,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
INDIANA,2018,1,,-,0,,0,,,-,,-,,-,0,,6,,,-,,-,"INDIANA
(39.76845, -86.156212)",
NEW YORK,2018,1,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
VIRGIN ISL.,2018,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
GUAM,2018,1,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,"GUAM
(13.3532, 144.653198)",
MASSACHUSETTS,2018,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
ARKANSAS,2018,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
OKLAHOMA,2018,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
COLORADO,2018,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
NORTH CAROLINA,2018,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
ALASKA,2018,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
ARIZONA,2018,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
SOUTH DAKOTA,2018,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
MISSISSIPPI,2018,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
VERMONT,2018,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
MINNESOTA,2018,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
E.N. CENTRAL,2018,5,,-,0,,1,,,-,,-,,-,1,,11,,,-,,-,,
WISCONSIN,2018,1,,-,0,,1,,,-,,-,,-,1,,5,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
C.N.M.I.,2018,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MICHIGAN,2018,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
LOUISIANA,2018,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
DELAWARE,2018,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
IOWA,2018,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"IOWA
(42.46942, -93.815856)",
WEST VIRGINIA,2018,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
NEW JERSEY,2018,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
CONNECTICUT,2018,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
WASHINGTON,2018,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
NEW MEXICO,2018,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NEW MEXICO
(34.520396, -106.244402)",
CALIFORNIA,2018,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
MAINE,2018,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"MAINE
(45.252223, -68.986647)",
CALIFORNIA,2018,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
CONNECTICUT,2018,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
NEW MEXICO,2018,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NEW MEXICO
(34.520396, -106.244402)",
HAWAII,2018,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
MINNESOTA,2018,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
WYOMING,2018,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MISSOURI,2018,2,,-,0,,3,,,-,1,,,-,0,,3,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
NEBRASKA,2018,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
SOUTH DAKOTA,2018,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
COLORADO,2018,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
MISSISSIPPI,2018,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
NEW YORK CITY,2018,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,
TEXAS,2018,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
DELAWARE,2018,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
E.N. CENTRAL,2018,2,,-,0,,1,,,-,,-,,-,1,,10,,,-,,-,,
INDIANA,2018,2,,-,0,,0,,,-,,-,,-,0,,6,,,-,,-,"INDIANA
(39.76845, -86.156212)",
DIST. OF COL.,2018,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
W.N. CENTRAL,2018,2,,-,0,,3,,,-,1,,,-,0,,4,,,-,,-,,
NEVADA,2018,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
GEORGIA,2018,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
UNITED STATES,2018,2,,-,0,,4,,,-,1,,,-,3,,16,,,-,1,,,
ALASKA,2018,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
W.S. CENTRAL,2018,2,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,
ARIZONA,2018,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
NEW HAMPSHIRE,2018,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEW YORK,2018,2,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
ALABAMA,2018,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
MID. ATLANTIC,2018,2,,-,0,,1,,,-,,-,,-,0,,5,,,-,1,,,
C.N.M.I.,2018,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
WEST VIRGINIA,2018,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
PUERTO RICO,2018,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
ARKANSAS,2018,2,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MONTANA,2018,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
FLORIDA,2018,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
TENNESSEE,2018,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
VIRGINIA,2018,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
OKLAHOMA,2018,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
UTAH,2018,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
IDAHO,2018,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
NORTH DAKOTA,2018,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
WASHINGTON,2018,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
SOUTH CAROLINA,2018,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
GUAM,2018,2,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,"GUAM
(13.3532, 144.653198)",
AMER. SAMOA,2018,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
KANSAS,2018,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KANSAS
(38.345528, -98.201847)",
OREGON,2018,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
OHIO,2018,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
NEW ENGLAND,2018,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,
MARYLAND,2018,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
IOWA,2018,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"IOWA
(42.46942, -93.815856)",
LOUISIANA,2018,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
NORTH CAROLINA,2018,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
MOUNTAIN,2018,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,
PENNSYLVANIA,2018,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
RHODE ISLAND,2018,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
VIRGIN ISL.,2018,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MASSACHUSETTS,2018,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
E.S. CENTRAL,2018,2,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,
PACIFIC,2018,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,
S. ATLANTIC,2018,2,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,,
NEW JERSEY,2018,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
KENTUCKY,2018,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
ILLINOIS,2018,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
MAINE,2018,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"MAINE
(45.252223, -68.986647)",
VERMONT,2018,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
MICHIGAN,2018,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
WISCONSIN,2018,2,,-,0,,1,,,-,,-,,-,1,,5,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
MISSOURI,2018,3,,-,0,,3,,,-,1,,,-,0,,3,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
MONTANA,2018,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
NEBRASKA,2018,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
FLORIDA,2018,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
WISCONSIN,2018,3,,-,0,,1,,,-,,-,,-,1,,5,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
AMER. SAMOA,2018,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
OHIO,2018,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
GEORGIA,2018,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
SOUTH CAROLINA,2018,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
IOWA,2018,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"IOWA
(42.46942, -93.815856)",
TENNESSEE,2018,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
IDAHO,2018,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
ARIZONA,2018,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
NORTH DAKOTA,2018,3,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
W.N. CENTRAL,2018,3,,-,0,,3,,,-,1,,,-,0,,4,,,-,,-,,
RHODE ISLAND,2018,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
E.N. CENTRAL,2018,3,,-,0,,1,,,-,,-,,-,1,,11,,,-,,-,,
VIRGINIA,2018,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
MARYLAND,2018,3,,-,0,,1,,,-,,-,1,,0,,1,,1,,,-,"MARYLAND
(39.290443, -76.612333)",
DELAWARE,2018,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NORTH CAROLINA,2018,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
OKLAHOMA,2018,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
S. ATLANTIC,2018,3,,-,0,,2,,,-,,-,1,,0,,2,,1,,,-,,
ILLINOIS,2018,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
DIST. OF COL.,2018,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
NEW ENGLAND,2018,3,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,
WEST VIRGINIA,2018,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
KANSAS,2018,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KANSAS
(38.345528, -98.201847)",
SOUTH DAKOTA,2018,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
MICHIGAN,2018,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
CONNECTICUT,2018,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
C.N.M.I.,2018,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
KENTUCKY,2018,3,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
NEVADA,2018,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
NEW JERSEY,2018,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
NEW MEXICO,2018,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NEW MEXICO
(34.520396, -106.244402)",
W.S. CENTRAL,2018,3,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,
UNITED STATES,2018,3,,-,0,,4,,,-,1,,1,,3,,17,,1,,1,,,
WASHINGTON,2018,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
VERMONT,2018,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
MINNESOTA,2018,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
NEW HAMPSHIRE,2018,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
UTAH,2018,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
GUAM,2018,3,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,"GUAM
(13.3532, 144.653198)",
HAWAII,2018,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
TEXAS,2018,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
VIRGIN ISL.,2018,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MAINE,2018,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"MAINE
(45.252223, -68.986647)",
MISSISSIPPI,2018,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
E.S. CENTRAL,2018,3,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,
PUERTO RICO,2018,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
NEW YORK,2018,3,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
ALABAMA,2018,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
COLORADO,2018,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
MOUNTAIN,2018,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,
ARKANSAS,2018,3,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
OREGON,2018,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
WYOMING,2018,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
PENNSYLVANIA,2018,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
NEW YORK CITY,2018,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,
INDIANA,2018,3,,-,0,,0,,,-,,-,,-,0,,6,,,-,,-,"INDIANA
(39.76845, -86.156212)",
CALIFORNIA,2018,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
PACIFIC,2018,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,
LOUISIANA,2018,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
MASSACHUSETTS,2018,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
MID. ATLANTIC,2018,3,,-,0,,1,,,-,,-,,-,0,,5,,,-,1,,,
ALASKA,2018,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
VERMONT,2018,4,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,"VERMONT
(43.622479, -72.51927)",
PUERTO RICO,2018,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
E.S. CENTRAL,2018,4,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,
NEW ENGLAND,2018,4,,-,0,,0,,,-,,-,,-,0,,2,,1,,,-,,
IDAHO,2018,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
W.S. CENTRAL,2018,4,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,
